August01105501,Dyn Increase time,,,
,,Max,Min,
,0A ~ 0A,012.1725,012.0325,
,0A ~ 1A,012.1725,012.0325,
,0A ~ 2A,012.1725,012.0325,
,0A ~ 3A,012.1725,012.0325,
,0A ~ 4A,012.1725,012.0325,
,0A ~ 5A,012.1725,012.0325,
,0A ~ 6A,012.1725,012.0325,
,0A ~ 7A,012.1725,012.0325,
,0A ~ 8A,012.1725,012.0325,
,0A ~ 9A,012.1725,012.0325,
,0A ~ 10A,012.1725,012.0325,
,1A ~ 0A,012.1725,012.0325,
,1A ~ 1A,012.1725,012.0325,
,1A ~ 2A,012.1725,012.0325,
,1A ~ 3A,012.1725,012.0325,
,1A ~ 4A,012.1725,012.0325,
,1A ~ 5A,012.1725,012.0325,
,1A ~ 6A,012.1725,012.0325,
,1A ~ 7A,012.1725,012.0325,
,1A ~ 8A,012.1725,012.0325,
,1A ~ 9A,012.1725,012.0325,
,1A ~ 10A,012.1725,012.0325,
,2A ~ 0A,012.1725,012.0325,
,2A ~ 1A,012.1725,012.0325,
,2A ~ 2A,012.1725,012.0325,
,2A ~ 3A,012.1725,012.0325,
,2A ~ 4A,012.1725,012.0325,
,2A ~ 5A,012.1725,012.0325,
,2A ~ 6A,012.1725,012.0325,
,2A ~ 7A,012.1725,012.0325,
,2A ~ 8A,012.1725,012.0325,
,2A ~ 9A,012.1725,012.0325,
,2A ~ 10A,012.1725,012.0325,
,3A ~ 0A,012.1725,012.0325,
,3A ~ 1A,012.1725,012.0325,
,3A ~ 2A,012.1725,012.0325,
,3A ~ 3A,012.1725,012.0325,
,3A ~ 4A,012.1725,012.0325,
,3A ~ 5A,012.1725,012.0325,
,3A ~ 6A,012.1725,012.0325,
,3A ~ 7A,012.1725,012.0325,
,3A ~ 8A,012.1725,012.0325,
,3A ~ 9A,012.1725,012.0325,
,3A ~ 10A,012.1725,012.0325,
,4A ~ 0A,012.1725,012.0325,
,4A ~ 1A,012.1725,012.0325,
,4A ~ 2A,012.1725,012.0325,
,4A ~ 3A,012.1725,012.0325,
,4A ~ 4A,012.1725,012.0325,
,4A ~ 5A,012.1725,012.0325,
,4A ~ 6A,012.1725,012.0325,
,4A ~ 7A,012.1725,012.0325,
,4A ~ 8A,012.1725,012.0325,
,4A ~ 9A,012.1725,012.0325,
,4A ~ 10A,012.1725,012.0325,
,5A ~ 0A,012.1725,012.0325,
,5A ~ 1A,012.1725,012.0325,
,5A ~ 2A,012.1725,012.0325,
,5A ~ 3A,012.1725,012.0325,
,5A ~ 4A,012.1725,012.0325,
,5A ~ 5A,012.1725,012.0325,
,5A ~ 6A,012.1725,012.0325,
,5A ~ 7A,012.1725,012.0325,
,5A ~ 8A,012.1725,012.0325,
,5A ~ 9A,012.1725,012.0325,
,5A ~ 10A,012.1725,012.0325,
,6A ~ 0A,012.1725,012.0325,
,6A ~ 1A,012.1725,012.0325,
,6A ~ 2A,012.1725,012.0325,
,6A ~ 3A,012.1725,012.0325,
,6A ~ 4A,012.1725,012.0325,
,6A ~ 5A,012.1725,012.0325,
,6A ~ 6A,012.1725,012.0325,
,6A ~ 7A,012.1725,012.0325,
,6A ~ 8A,012.1725,012.0325,
,6A ~ 9A,012.1725,012.0325,
,6A ~ 10A,012.1725,012.0325,
,7A ~ 0A,012.1725,012.0325,
,7A ~ 1A,012.1725,012.0325,
,7A ~ 2A,012.1725,012.0325,
,7A ~ 3A,012.1725,012.0325,
,7A ~ 4A,012.1725,012.0325,
,7A ~ 5A,012.1725,012.0325,
,7A ~ 6A,012.1725,012.0325,
,7A ~ 7A,012.1725,012.0325,
,7A ~ 8A,012.1725,012.0325,
,7A ~ 9A,012.1725,012.0325,
,7A ~ 10A,012.1725,012.0325,
